experiment_dir,num,hosts,switches,seed,k,down_interval,down_duration,down_count,down_stagger,down_exclude,cache_count,get_interval,filename,host_id,content_id,file_seed,down_hosts,get_idx,phase,cycle,timestamp,uri,rx_frames_all,rx_frames_content,rx_bytes_all,rx_bytes_content,duration_sec,throughput_bps,goodput_bps,jitter_ave_us,jitter_max_us,jitter_var_us,success
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx4_h1.log",1,,42,"0,1,2,3,4,5,6,10,11,12,13,14",4,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx5_h1.log",1,,42,"0,1,2,3,4,5,6,10,11,12,13,14",5,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx6_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",6,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx7_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",7,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,6,10,11,12,13,14_phasewarmup_cycle0_idx8_h4.log",4,,42,"0,1,2,3,4,6,10,11,12,13,14",8,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,6,13_phasewarmup_cycle0_idx9_h4.log",4,,42,"0,1,2,3,6,13",9,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,2,3,4,5,10,11,12,14_phaseeval_cycle0_idx2_h12.log",12,,42,"0,2,3,4,5,10,11,12,14",2,eval,0,,ccnx:/video/stream/content3,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,2,3,4,5,10,11,12,14_phasewarmup_cycle0_idx10_h5.log",5,,42,"0,2,3,4,5,10,11,12,14",10,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts1,2,6,13_phaseeval_cycle0_idx1_h9.log",9,,42,"1,2,6,13",1,eval,0,,ccnx:/video/stream/content2,581,581,617433,594774,0.363,13646737,13145919,622,94593,15803511,True
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,10,11,12,14_phasewarmup_cycle0_idx0_h0.log",0,,42,"0,1,2,3,4,5,10,11,12,14",0,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phaseeval_cycle0_idx0_h6.log",6,,42,"0,1,2,3,4,5,6,10,11,12,13,14",0,eval,0,,ccnx:/video/stream/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phaseeval_cycle0_idx3_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",3,eval,0,,ccnx:/test/data/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phaseeval_cycle0_idx4_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",4,eval,0,,ccnx:/test/data/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phaseeval_cycle0_idx5_h9.log",9,,42,"0,1,2,3,4,5,6,10,11,12,13,14",5,eval,0,,ccnx:/test/data/content2,847,847,463882,433390,0.307,12143388,11345176,360,29095,1037188,True
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phaseeval_cycle0_idx6_h9.log",9,,42,"0,1,2,3,4,5,6,10,11,12,13,14",6,eval,0,,ccnx:/test/data/content2,847,847,463882,433390,0.105,35800270,33447038,122,5728,41224,True
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx11_h5.log",5,,42,"0,1,2,3,4,5,6,10,11,12,13,14",11,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx12_h6.log",6,,42,"0,1,2,3,4,5,6,10,11,12,13,14",12,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx13_h6.log",6,,42,"0,1,2,3,4,5,6,10,11,12,13,14",13,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx1_h0.log",0,,42,"0,1,2,3,4,5,6,10,11,12,13,14",1,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx2_h2.log",2,,42,"0,1,2,3,4,5,6,10,11,12,13,14",2,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx3_h2.log",2,,42,"0,1,2,3,4,5,6,10,11,12,13,14",3,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx4_h1.log",1,,42,"0,1,2,3,4,5,6,10,11,12,13,14",4,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx5_h1.log",1,,42,"0,1,2,3,4,5,6,10,11,12,13,14",5,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx6_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",6,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,5,6,10,11,12,13,14_phasewarmup_cycle0_idx7_h3.log",3,,42,"0,1,2,3,4,5,6,10,11,12,13,14",7,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,4,6,10,11,12,13,14_phasewarmup_cycle0_idx8_h4.log",4,,42,"0,1,2,3,4,6,10,11,12,13,14",8,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,1,2,3,6,13_phasewarmup_cycle0_idx9_h4.log",4,,42,"0,1,2,3,6,13",9,warmup,0,,ccnx:/emergency/alert/content2,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,2,3,4,5,10,11,12,14_phaseeval_cycle0_idx2_h12.log",12,,42,"0,2,3,4,5,10,11,12,14",2,eval,0,,ccnx:/video/stream/content3,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts0,2,3,4,5,10,11,12,14_phasewarmup_cycle0_idx10_h5.log",5,,42,"0,2,3,4,5,10,11,12,14",10,warmup,0,,ccnx:/emergency/alert/content1,0,0,,,,,,,,,False
ex11_seed42,11,15,100,42,2,10,100,9,1,,0,10,"cefgetfile_seed42_downhosts1,2,6,13_phaseeval_cycle0_idx1_h9.log",9,,42,"1,2,6,13",1,eval,0,,ccnx:/video/stream/content2,581,581,617433,594774,0.363,13646737,13145919,622,94593,15803511,True
